Item Number,Long Description,Short Description,Product Number,PriceOB,ALL,STMARIA,SALINA,WAREHOUSE,STMWH,REPAIR,RMA,ADJ_REPAIR,ADJ_RMA,Last Received Date,Last Sold Date,Cost,Price,Margin
5010174,Dell Inspiron 15 3520 i5 Touch,I3520-5810BLK-P,I3520-5810BLK-PUS,1199.99,1,0,0,0,0,1,0,0,0,2024-07-12,2025-03-05,734.63,1132.07,35.1
5010175,HP Envy X360 2in1 Ryzen 5,8B3S4UA#ABA,8B3S4UA#ABA,1500,1,0,0,0,0,1,0,0,0,2024-03-13,2024-05-20,892.98,1415.09,36.9
5010176,HP Pavilion AMD Ryzen 7 SL,7F1Z3UA#ABA,7F1Z3UA#ABA,1599.99,0,0,0,0,0,0,0,0,0,2024-02-22,2024-06-07,1015.13,1509.42,32.7
5010177,Lenovo ThinkPad E16,21JT001EUS,21JT001EUS,1699.99,0,0,0,0,0,0,0,0,0,2024-02-22,2024-05-14,1116.85,1603.76,30.4
5010178,Forza UPS BT-751 750VA 120V,BT-751,BT-751,149.99,0,0,0,0,0,0,0,0,0,2024-02-27,2024-06-20,74.32,141.5,47.5
5010179,Xtech Mickey Mouse BT Headset,XTH-D660MM,XTH-D660MM,59.99,6,2,4,0,0,0,0,0,0,2024-02-27,2026-03-21,28.18,56.59,50.2
5010180,Xtech Disney Princes BT Head,XTH-D274PS,XTH-D274PS,39.99,1,0,1,0,0,0,0,0,0,2024-02-27,2026-02-05,16.79,37.73,55.5
5010181,Xtech Morrighan Gaming Headset,XTH-565,XTH-565,39.99,7,3,4,0,0,0,0,0,0,2026-03-06,2026-04-20,17.44,37.73,53.8
5010182,"HP Ci3 15.6"" W11S BL",7Z899UA#ABA,7Z899UA#ABA,899.99,0,0,0,0,0,0,0,0,0,2024-02-22,2024-05-29,547.24,849.05,35.5
5010183,Xtech Sedna Gaming Headset,XTH-545,XTH-545,39.99,0,0,0,0,0,0,0,0,-2,2024-02-27,2024-12-24,18.87,37.73,50
5010184,"MSI Pulse 15 15.6"" Ci9 BK",B13VGK-287US,B13VGK-287US,3699.98,0,0,0,0,0,0,0,0,0,2024-02-22,2024-06-26,3008.78,3490.55,13.8
5010185,Nexxt Patch Cable Cat6A 10fTBL,NAB-PCS6A10BL,NAB-PCS6A10BL,32.99,82,12,16,54,0,0,0,0,0,2024-02-27,2026-04-09,13,31.12,58.2
5010186,Lenovo V15 G4 Ci3-1315U,83A100EGUS,83A100EGUS,1199.99,0,0,0,0,0,0,0,0,0,2024-02-22,2024-06-17,750.67,1132.07,33.7
5010187,Nexxt Patch Cable Cat6A 10ftGR,NAB-PCS6A10GR,NAB-PCS6A10GR,32.99,72,13,16,43,0,0,0,0,-1,2024-02-27,2026-03-30,13,31.12,58.2
5010188,"HP 15 15.6"" Ci3 SL",8C344UA#ABA,8C344UA#ABA,899.99,0,0,0,0,0,0,0,0,0,2024-02-22,2024-05-27,553.34,849.05,34.8
5010189,Nexxt UTP Cat6 Box 1000 ft RD,AB356NXT03,AB356NXT03,359.99,0,0,0,0,0,0,0,0,0,2024-02-27,2026-01-19,234.1,339.61,31.1
5010190,"HP Victus 15.6"" Gaming Laptop",845A2UA#ABA,845A2UA#ABA,1599.99,0,0,0,0,0,0,0,0,0,2024-07-04,2024-08-14,1091.19,1509.42,27.7
5010191,KlipX BoomFire BT Speaker BK,KLS-100,KLS-100,129.99,0,0,0,0,0,0,0,0,-1,2026-03-06,2026-04-01,73.56,122.63,40
5010192,"HP Pavilion C15 14"" W11 SL",60V06UA#ABA,60V06UA#ABA,1400,0,0,0,0,0,0,0,0,0,2024-02-22,2024-05-24,893.07,1320.75,32.4
5010193,Klipx Hi-Fi Premium Bt Headset,KNH-750BL,KNH-750BL,139.99,18,3,3,9,0,0,3,0,-16,2026-03-06,2026-04-22,74.99,132.07,43.2
5010194,Klipx Hi-Fi Premium Bt Headset,KNH-750GR,KNH-750GR,139.99,0,0,0,0,0,0,0,0,-7,2025-06-17,2025-10-09,79.29,132.07,40
5010195,KlipX KTE-500BK Earbuds Black,KTE-500BK,KTE-500BK,79.99,0,0,0,0,0,0,0,0,-7,2024-08-29,2024-12-20,46.03,75.46,39
5010196,KlipX Arrow BT Wireless Mouse,KMB-251BK,KMB-251BK,29.99,40,6,6,28,0,0,0,0,-2,2026-03-06,2025-07-01,12.68,28.29,55.2
5010197,"Lenovo Ideapad 3i Ci5 14.0"" GR",81X700FVUS,81X700FVUS,999.99,0,0,0,0,0,0,0,0,0,2024-02-22,2024-11-15,648.95,943.39,31.2
5010198,KlipX Krown Wired Mouse Black,KMO-506,KMO-506,32.99,15,4,3,8,0,0,0,0,0,2024-02-27,2026-03-18,13.22,31.12,57.5
5010199,Nexxt Smart Wi-Fi Two Pack,NHP-S6112PK,NHP-S6112PK,49.99,0,0,0,0,0,0,0,0,0,2024-02-27,2025-08-21,25.71,47.16,45.5
5010200,KlipX 14 NeoSquare Sleeve BK,KNS-310B,KNS-310B,19.99,17,4,5,8,0,0,0,0,0,2026-03-06,2026-04-21,12.51,18.86,33.7
5010201,"KlipX Monaco Backpack 15.6"" GR",KNB-426GR,KNB-426GR,39.99,8,4,4,0,0,0,0,0,0,2026-03-06,2026-03-21,22.25,37.73,41
5010202,Nexxt Smart Wi-Fi Blind Contro,NHA-B100,NHA-B100,149.99,22,6,3,13,0,0,0,0,0,2024-02-27,2025-06-04,93.5,141.5,33.9
5010203,"KlipX Monaco Backpack 15.6"" BL",KNB-426BL,KNB-426BL,39.99,9,4,5,0,0,0,0,0,0,2026-01-28,2026-04-20,23.51,37.73,37.7
5010204,Nexxt Smart Wi-Fi IR+RF Remote,NHA-I610,NHA-I610,64.99,75,13,8,54,0,0,0,0,0,2026-03-06,2026-04-21,35.98,61.31,41.3
5010205,Smart Wi-Fi LED Amber Blb 220V,NHB-A520,NHB-A520,19.99,0,0,0,0,0,0,0,0,0,2024-02-27,2026-03-28,10.6,18.86,43.8
5010206,"KlipX Wall Mount, 55'' to 90""",KTM-353,KTM-353,49.99,4,3,1,0,0,0,0,0,0,2025-06-17,2026-01-21,23.54,47.16,50.1
5010207,Smart Wi-Fi slim LED Downlight,NHB-W710,NHB-W710,49.99,2,1,1,0,0,0,0,0,0,2026-01-28,2026-03-21,22.4,47.16,52.5
5010208,Smart Wi-Fi LED Floor Lamp,NHB-S710,NHB-S710,129.99,11,5,6,0,0,0,0,0,0,2026-03-06,2026-03-04,82.04,122.63,33.1
5010209,"Full Motion TV Mount 37-90""",KTM-956,KTM-956,129.99,4,2,2,0,0,0,0,0,0,2026-03-06,2025-12-22,59.57,122.63,51.4
5010210,KlipX Foldable Laptop Stand,KAS-002,KAS-002,24.99,0,0,0,0,0,0,0,0,0,2024-02-27,2024-09-04,15.88,23.58,32.7
5010211,Nexxt Smart WiFi LED Light Str,NHB-S614,NHB-S614,99.99,0,0,0,0,0,0,0,0,-2,2024-02-27,2025-07-07,60.27,94.33,36.1
5010212,"KlipX Laptop Backpack 15.6"" BK",KNB-576BK,KNB-576BK,39.99,0,0,0,0,0,0,0,0,0,2026-03-06,2026-04-16,25.44,37.73,32.6
5010213,"KlipX Laptop Backpack 15.6"" GR",KNB-576GR,KNB-576GR,39.99,7,4,3,0,0,0,0,0,0,2026-03-06,2026-04-20,25.44,37.73,32.6
5010214,Nexxt Smart Wi-Fi single plug,NHP-S611,NHP-S611,24.99,0,0,0,0,0,0,0,0,0,2024-02-27,2025-05-17,13.9,23.58,41.1
5010215,Nexxt WiFi LED RGBIC Light Str,NHB-S613,NHB-S613,94.99,3,2,1,0,0,0,0,0,-1,2026-03-06,2026-04-15,53.25,89.61,40.6
5010216,"KlipX Laptop Backpack 15.6"" BK",KNB-577BK,KNB-577BK,39.99,0,0,0,0,0,0,0,0,0,2025-06-17,2026-04-18,21.79,37.73,42.2
5010217,"KlipX Laptop Backpack 15.6"" GR",KNB-577GR,KNB-577GR,39.99,11,5,6,0,0,0,0,0,0,2026-03-06,2026-03-26,22.98,37.73,39.1
5010218,Nexxt PowerStrip 9 Outlet,NPD-11U9N15A,NPD-11U9N15A,149.99,25,6,15,4,0,0,0,0,0,2024-07-10,2026-04-18,89.42,141.5,36.8
5010219,KlipX Laptop Backpack Case,KNB-895,KNB-895,59.99,17,6,5,6,0,0,0,0,0,2026-03-06,2026-04-17,31.24,56.59,44.8
5010220,Forza FVR-1012 AVR,FVR-1012,FVR-1012,49.99,37,10,7,19,0,1,0,0,0,2024-07-12,2026-02-17,19.66,47.16,58.3
5010221,"KlipX Laptop Case 15.6""",KNC-041,KNC-041,34.99,42,8,6,28,0,0,0,0,0,2026-04-17,2026-03-23,17.03,33.01,48.4
5010222,Forza FVR-1011 AVR,FVR-1011,FVR-1011,49.99,22,5,5,12,0,0,0,0,0,2025-06-17,2026-03-30,19.39,47.16,58.9
5010223,"KlipX Sleeve 15.6"" GR",KNS-220GR,KNS-220GR,24.99,9,3,5,0,0,0,1,0,0,2025-06-17,2026-03-18,12.18,23.58,48.3
5010224,"KlipX Sleeve 15.6"" HK",KNS-220KH,KNS-220KH,29.99,13,7,5,1,0,0,0,0,0,2026-01-28,2026-04-17,14.33,28.29,49.3
5010225,Xtech XTQ-200 ATX case w Power,XTQ-200,XTQ-200,99.99,3,1,2,0,0,0,0,0,0,2026-03-06,2025-07-15,58.75,94.33,37.7
